data,site name,site id,river name,city name ,city id
1,SASKATCHEWAN RIVER OLD CHANNEL,05KH009,Saskatchewan,Nipawin,4075525
2,LITTLE BOW RIVER BELOW TRAVERS DAM,05AC012,Little bow,TRAVERS AGCM,3036500
